user_id ID,gender,province,education_level,employment_status,main_fintech_app,investment_type,loan_usage_purpose,outstanding_loan,financial_anxiety_score,digital_time_spent_per_day,income_clean,expense_clean,ewallet_spending_clean,age,Jumlah Rekening Penerima Pinjaman Aktif (entitas),Jumlah Dana yang Diberikan (Rp miliar),Jumlah Rekening Pemberi Pinjaman (akun),TWP 90%,Jumlah Penerima Pinjaman (akun),Outstanding Pinjaman (Rp miliar),Jumlah Penduduk (Ribu),PDRB (Ribu Rp),Urbanisasi (%)
U0001,Male,Kalimantan Tengah,Senior High School,Private Employee,GoPay,Kripto,Konsumsi,4186788.0,3,9.5,10000001.0,6000001.0,1000001.0,24,162309,0.45,506.0,1.49,90470,488.58,2845.0,79320,52.9
U0002,Female,Papua Selatan,Senior High School,Entrepreneur,Dana,Reksadana,Gaya,13000426.0,2,9.6,2000001.0,4000001.0,500000.0,18,6267,1.7,2214.0,1.24,3118,14.24,1492.3,61583,58.4
U0003,Female,Sulawesi Selatan,Bachelor (S1)/Diploma IV,Student,OVO,Reksadana,Tidak Ada,0.0,5,7.5,2000001.0,4000001.0,500001.0,14,609232,6.63,7617.0,1.67,354031,2038.05,9563.1,73573,59.6
U0004,Female,Gorontalo,Senior High School,Private Employee,GoPay,Kripto,Usaha,19950599.0,1,13.0,2000001.0,4000001.0,500001.0,16,114275,0.35,298.0,1.4,51903,457.14,1242.2,44433,58.4
U0005,Male,Kalimantan Barat,Senior High School,Private Employee,LinkAja,Saham,Konsumsi,17608228.0,5,12.0,15000000.0,15000000.0,500001.0,15,277057,4.73,4654.0,1.54,151011,855.65,5766.0,52703,47.9
U0006,Male,Sulawesi Utara,Bachelor (S1)/Diploma IV,Entrepreneur,GoPay,Kripto,Gaya,9566186.0,4,20.0,6000001.0,10000001.0,500000.0,17,269034,0.78,1493.0,1.35,152307,976.3,2721.4,69352,68.7
U0007,Male,Sumatera Selatan,Senior High School,Not Working,OVO,Reksadana,Pendidikan,13708324.0,1,2.8,2000001.0,4000001.0,500000.0,16,577990,8.6,4120.0,2.66,334613,1728.24,8928.5,75132,40.1
U0008,Female,Papua Pegunungan,Bachelor (S1)/Diploma IV,Student,Dana,Reksadana,Konsumsi,7451775.0,4,9.0,2000000.0,2000000.0,500000.0,14,2410,1.7,2214.0,0.9,998,4.9,549.7,18105,58.4
U0009,Female,Sumatera Utara,Junior High School,Private Employee,LinkAja,Reksadana,Tidak Ada,0.0,2,10.4,6000001.0,10000001.0,500000.0,23,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
U0010,Female,Kalimantan Selatan,Senior High School,Student,ShopeePay,Emas,Gaya,13296963.0,3,6.4,2000000.0,2000000.0,500000.0,19,336953,2.29,2214.0,2.0,190913,958.78,4323.3,67117,59.8
U0011,Male,Maluku Utara,Elementary School,Private Employee,LinkAja,Emas,Tidak Ada,0.0,5,20.0,2000001.0,4000001.0,500000.0,24,54436,0.08,74.0,0.62,27649,242.69,1373.8,70660,30.6
U0012,Female,Banten,Junior High School,Student,LinkAja,Reksadana,Tidak Ada,0.0,4,4.9,4000001.0,4000001.0,500001.0,13,1742274,601.94,83677.0,2.73,1244263,6226.21,12537.4,70276,84.9
U0013,Female,Nusa Tenggara Barat,Bachelor (S1)/Diploma IV,Student,OVO,Kripto,Tidak Ada,0.0,2,4.1,4000001.0,4000001.0,500001.0,13,237629,1.14,6378.0,4.36,100966,827.06,5731.1,32282,62.7
U0014,Male,Jambi,Junior High School,Student,ShopeePay,Reksadana,Konsumsi,7229806.0,5,9.8,4000001.0,4000001.0,3000000.0,28,273264,1.06,1251.0,2.16,136402,864.3,3768.5,86722,38.2
U0015,Male,Papua Pegunungan,Senior High School,Private Employee,LinkAja,Reksadana,Usaha,9438770.0,5,6.0,6000001.0,10000001.0,500000.0,16,2410,1.7,2214.0,0.9,998,4.9,549.7,18105,58.4
U0016,Male,Sulawesi Barat,Senior High School,Student,LinkAja,Reksadana,Konsumsi,18645953.0,4,7.8,2000001.0,4000001.0,500001.0,13,57874,0.12,247.0,1.19,25633,230.51,1525.3,42718,23.1
U0017,Male,Nusa Tenggara Timur,Senior High School,Private Employee,Dana,Reksadana,Tidak Ada,0.0,2,2.4,2000001.0,4000001.0,500001.0,25,226040,0.72,8249.0,1.41,74766,753.13,5742.6,24272,34.6
U0018,Female,Kalimantan Timur,Bachelor (S1)/Diploma IV,Civil Servant/BUMN,Kredivo,Saham,Konsumsi,15925040.0,3,9.5,4000001.0,4000001.0,500000.0,18,453429,6.55,1311.0,1.94,266429,1309.86,4267.6,212175,77.7
U0019,Male,Papua,Elementary School,Student,LinkAja,No Investment,Pendidikan,4978903.0,4,8.5,2000000.0,2000000.0,1000001.0,14,75024,0.52,343.0,1.17,39157,221.27,636.4,59064,41.5
U0020,Male,Jawa Tengah,Diploma I/II/III,Entrepreneur,OVO,Kripto,Gaya,12353513.0,5,3.6,10000001.0,6000001.0,500000.0,28,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
U0021,Female,Gorontalo,Postgraduate,Student,Kredivo,Reksadana,Pendidikan,18829086.0,5,7.6,2000000.0,2000000.0,3000000.0,16,114275,0.35,298.0,1.4,51903,457.14,1242.2,44433,58.4
U0022,Male,Papua Pegunungan,Senior High School,Civil Servant/BUMN,Akulaku,No Investment,Konsumsi,3835160.0,1,7.0,4000001.0,4000001.0,1000001.0,22,2410,1.7,2214.0,0.9,998,4.9,549.7,18105,58.4
U0023,Male,Kalimantan Selatan,Bachelor (S1)/Diploma IV,Private Employee,OVO,No Investment,Gaya,4129331.0,2,5.9,4000001.0,4000001.0,500001.0,13,336953,2.29,2214.0,2.0,190913,958.78,4323.3,67117,59.8
U0024,Male,Papua Pegunungan,Junior High School,Student,Dana,Kripto,Konsumsi,8789681.0,1,1.0,2000001.0,4000001.0,500001.0,13,2410,1.7,2214.0,0.9,998,4.9,549.7,18105,58.4
U0025,Male,Kepulauan Bangka Belitung,Senior High School,Student,LinkAja,Kripto,Konsumsi,15549132.0,3,5.3,2000000.0,2000000.0,500001.0,13,103253,0.91,1080.0,1.6,54643,337.75,1550.8,70194,67.4
U0026,Female,Nusa Tenggara Timur,Senior High School,Student,GoPay,Saham,Pendidikan,7650669.0,4,7.8,2000000.0,2000000.0,500001.0,20,226040,0.72,8249.0,1.41,74766,753.13,5742.6,24272,34.6
U0027,Male,Papua Barat Daya,Diploma I/II/III,Not Working,OVO,Saham,Tidak Ada,0.0,5,5.6,2000001.0,2000000.0,500001.0,14,11793,1.7,1.0,0.88,5691,24.05,1484.9,59064,58.4
U0028,Female,Sumatera Selatan,Postgraduate,Private Employee,GoPay,Saham,Gaya,10178391.0,2,6.4,2000001.0,4000001.0,500000.0,14,577990,8.6,4120.0,2.66,334613,1728.24,8928.5,75132,40.1
U0029,Female,Jawa Timur,Senior High School,Private Employee,LinkAja,Reksadana,Usaha,6655343.0,5,10.7,2000001.0,4000001.0,500000.0,22,3048079,132.94,44643.0,3.29,1895275,10417.68,42089.3,75770,66.7
U0030,Male,Kalimantan Barat,Diploma I/II/III,Private Employee,Kredivo,Reksadana,Gaya,15308369.0,1,6.8,6000001.0,10000001.0,500001.0,15,277057,4.73,4654.0,1.54,151011,855.65,5766.0,52703,47.9
U0031,Female,Kepulauan Bangka Belitung,Senior High School,Student,Kredivo,Kripto,Pendidikan,14854489.0,1,1.8,2000001.0,4000001.0,500001.0,28,103253,0.91,1080.0,1.6,54643,337.75,1550.8,70194,67.4
U0032,Male,Maluku Utara,Senior High School,Civil Servant/BUMN,OVO,Saham,Tidak Ada,0.0,4,6.5,6000001.0,10000001.0,1000001.0,18,54436,0.08,74.0,0.62,27649,242.69,1373.8,70660,30.6
U0033,Male,Riau,Senior High School,Entrepreneur,ShopeePay,Emas,Konsumsi,2180913.0,2,7.2,6000001.0,10000001.0,500000.0,24,542854,4.45,4273.0,1.66,282437,1565.78,2213.5,165350,41.8
U0034,Female,Nusa Tenggara Barat,Postgraduate,Student,GoPay,Reksadana,Tidak Ada,0.0,2,4.9,2000001.0,4000001.0,1000001.0,26,237629,1.14,6378.0,4.36,100966,827.06,5731.1,32282,62.7
U0035,Female,Jambi,Diploma I/II/III,Student,GoPay,Emas,Tidak Ada,0.0,4,8.8,2000000.0,2000000.0,500000.0,27,273264,1.06,1251.0,2.16,136402,864.3,3768.5,86722,38.2
U0036,Female,Kalimantan Barat,Senior High School,Student,Kredivo,Reksadana,Tidak Ada,0.0,1,3.3,2000000.0,2000000.0,500001.0,16,277057,4.73,4654.0,1.54,151011,855.65,5766.0,52703,47.9
U0037,Male,Kalimantan Timur,Junior High School,Civil Servant/BUMN,LinkAja,Saham,Konsumsi,9731329.0,1,6.7,10000001.0,6000001.0,500001.0,22,453429,6.55,1311.0,1.94,266429,1309.86,4267.6,212175,77.7
U0038,Male,DKI Jakarta,Senior High School,Others,Dana,Kripto,Pendidikan,17558313.0,1,3.3,2000000.0,4000001.0,500001.0,16,2708907,20964.0,9272715.0,3.56,2324200,12838.89,10678.0,344350,100.0
U0039,Female,Papua Selatan,Senior High School,Student,Dana,Saham,Tidak Ada,0.0,5,6.3,2000000.0,2000000.0,500000.0,27,6267,1.7,2214.0,1.24,3118,14.24,1492.3,61583,58.4
U0040,Male,Kalimantan Selatan,Senior High School,Private Employee,ShopeePay,Emas,Konsumsi,19453298.0,3,8.8,10000001.0,6000001.0,500001.0,22,336953,2.29,2214.0,2.0,190913,958.78,4323.3,67117,59.8
U0041,Male,Riau,Bachelor (S1)/Diploma IV,Student,Dana,No Investment,Tidak Ada,0.0,1,6.6,2000000.0,2000000.0,1000001.0,19,542854,4.45,4273.0,1.66,282437,1565.78,2213.5,165350,41.8
U0042,Male,Gorontalo,Senior High School,Others,Kredivo,Reksadana,Tidak Ada,0.0,3,6.4,4000001.0,4000001.0,500001.0,15,114275,0.35,298.0,1.4,51903,457.14,1242.2,44433,58.4
U0043,Male,Papua,Senior High School,Student,Dana,Kripto,Tidak Ada,0.0,3,7.1,2000000.0,2000000.0,500001.0,22,75024,0.52,343.0,1.17,39157,221.27,636.4,59064,41.5
U0044,Female,Jawa Tengah,Junior High School,Civil Servant/BUMN,Dana,Kripto,Konsumsi,5037229.0,2,7.2,6000001.0,10000001.0,1000001.0,17,2637739,29.46,59501.0,2.77,1553694,6962.05,38233.9,47972,60.8
U0045,Male,Kepulauan Bangka Belitung,Bachelor (S1)/Diploma IV,Private Employee,Dana,Saham,Tidak Ada,0.0,4,8.7,4000001.0,4000001.0,1000001.0,14,103253,0.91,1080.0,1.6,54643,337.75,1550.8,70194,67.4
U0046,Female,Maluku,Diploma I/II/III,Private Employee,Akulaku,Reksadana,Tidak Ada,0.0,5,8.7,2000001.0,4000001.0,500001.0,17,64468,0.2,117.0,0.84,32951,231.36,1970.6,32198,42.1
U0047,Male,Bengkulu,Junior High School,Civil Servant/BUMN,ShopeePay,Kripto,Tidak Ada,0.0,3,10.6,6000001.0,10000001.0,500000.0,24,138784,0.36,358.0,1.75,68108,478.3,2138.0,49233,35.6
U0048,Female,Riau,Diploma I/II/III,Student,OVO,No Investment,Konsumsi,11126691.0,5,7.4,2000000.0,2000000.0,1000001.0,28,542854,4.45,4273.0,1.66,282437,1565.78,2213.5,165350,41.8
U0049,Female,Nusa Tenggara Timur,Senior High School,Student,OVO,Saham,Konsumsi,14684940.0,2,2.8,2000000.0,2000000.0,500001.0,14,226040,0.72,8249.0,1.41,74766,753.13,5742.6,24272,34.6
U0050,Male,Sulawesi Barat,Junior High School,Student,Akulaku,No Investment,Pendidikan,11899772.0,1,9.1,2000000.0,2000000.0,500000.0,28,57874,0.12,247.0,1.19,25633,230.51,1525.3,42718,23.1
U0051,Female,Maluku,Senior High School,Student,GoPay,Emas,Konsumsi,5452034.0,3,10.4,2000000.0,2000000.0,500000.0,14,64468,0.2,117.0,0.84,32951,231.36,1970.6,32198,42.1
U0052,Female,Papua Tengah,Senior High School,Civil Servant/BUMN,LinkAja,Emas,Gaya,19735763.0,4,13.2,4000001.0,4000001.0,1000001.0,19,10736,1.7,2214.0,0.99,8184,27.6,1073.6,118774,58.4
U0053,Female,Kalimantan Tengah,Senior High School,Student,OVO,Reksadana,Tidak Ada,0.0,2,10.6,2000000.0,4000001.0,500000.0,13,162309,0.45,506.0,1.49,90470,488.58,2845.0,79320,52.9
U0054,Female,Maluku,Bachelor (S1)/Diploma IV,Student,GoPay,Reksadana,Pendidikan,3920690.0,5,5.8,4000001.0,4000001.0,3000000.0,15,64468,0.2,117.0,0.84,32951,231.36,1970.6,32198,42.1
U0055,Female,Nusa Tenggara Timur,Bachelor (S1)/Diploma IV,Private Employee,Akulaku,Reksadana,Tidak Ada,0.0,1,7.5,2000000.0,2000000.0,500000.0,13,226040,0.72,8249.0,1.41,74766,753.13,5742.6,24272,34.6
U0056,Female,Maluku,Diploma I/II/III,Others,OVO,Reksadana,Konsumsi,18597271.0,5,6.3,2000001.0,4000001.0,1000001.0,21,64468,0.2,117.0,0.84,32951,231.36,1970.6,32198,42.1
U0057,Male,Maluku Utara,Senior High School,Private Employee,Dana,Reksadana,Konsumsi,14633059.0,4,6.0,2000001.0,4000001.0,500001.0,15,54436,0.08,74.0,0.62,27649,242.69,1373.8,70660,30.6
U0058,Male,Sumatera Utara,Senior High School,Student,OVO,No Investment,Konsumsi,817152.0,3,6.7,2000000.0,2000000.0,500001.0,21,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
U0059,Male,Kepulauan Riau,Diploma I/II/III,Student,ShopeePay,Emas,Pendidikan,8096477.0,4,10.2,4000001.0,4000001.0,1000001.0,19,309076,7.83,9212.0,1.8,180411,993.02,10678.0,161424,85.3
U0060,Male,Sumatera Utara,Senior High School,Others,LinkAja,Emas,Tidak Ada,0.0,5,3.0,2000000.0,2000000.0,500001.0,17,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
U0061,Male,Sumatera Utara,Junior High School,Student,GoPay,No Investment,Konsumsi,17351132.0,5,4.5,6000001.0,10000001.0,500001.0,14,1036941,26.54,26205.0,1.55,650944,3078.85,15785.8,73575,68.1
U0062,Male,Kalimantan Utara,Senior High School,Student,Dana,Saham,Tidak Ada,0.0,4,10.0,2000000.0,2000000.0,500000.0,13,39135,0.15,84.0,3.08,20761,133.66,749.4,198429,58.4
U0063,Female,Bali,Bachelor (S1)/Diploma IV,Private Employee,Kredivo,Kripto,Usaha,14790924.0,4,10.6,6000001.0,10000001.0,500000.0,15,427124,18.54,8469.0,1.13,260541,1781.63,2836.7,67319,81.2
U0064,Male,Maluku Utara,Senior High School,Private Employee,ShopeePay,Reksadana,Tidak Ada,0.0,4,5.4,4000001.0,4000001.0,500000.0,20,54436,0.08,74.0,0.62,27649,242.69,1373.8,70660,30.6
U0065,Male,Banten,Junior High School,Private Employee,Akulaku,Reksadana,Konsumsi,14106497.0,1,11.1,6000001.0,10000001.0,500001.0,20,1742274,601.94,83677.0,2.73,1244263,6226.21,12537.4,70276,84.9
U0066,Female,Banten,Bachelor (S1)/Diploma IV,Student,Dana,Emas,Konsumsi,6570517.0,5,9.4,2000000.0,2000000.0,500000.0,16,1742274,601.94,83677.0,2.73,1244263,6226.21,12537.4,70276,84.9
U0067,Male,Maluku,Senior High School,Student,Kredivo,Reksadana,Konsumsi,12672207.0,2,6.3,2000000.0,2000000.0,500000.0,23,64468,0.2,117.0,0.84,32951,231.36,1970.6,32198,42.1
U0068,Female,Kalimantan Utara,Senior High School,Others,Kredivo,Reksadana,Usaha,1109003.0,1,1.0,2000000.0,2000000.0,500001.0,26,39135,0.15,84.0,3.08,20761,133.66,749.4,198429,58.4
U0069,Male,Aceh,Senior High School,Student,Dana,Reksadana,Pendidikan,19610944.0,1,2.8,2000000.0,2000000.0,500001.0,21,102897,1.63,615.0,0.82,70593,196.9,5626.0,43782,43.2
U0070,Female,DKI Jakarta,Senior High School,Private Employee,ShopeePay,Kripto,Tidak Ada,0.0,1,5.4,10000001.0,6000001.0,1000001.0,23,2708907,20964.0,9272715.0,3.56,2324200,12838.89,10678.0,344350,100.0
U0071,Female,Kalimantan Tengah,Bachelor (S1)/Diploma IV,Private Employee,OVO,Reksadana,Tidak Ada,0.0,2,8.9,4000001.0,4000001.0,500000.0,22,162309,0.45,506.0,1.49,90470,488.58,2845.0,79320,52.9
U0072,Male,Riau,Senior High School,Private Employee,GoPay,Emas,Tidak Ada,0.0,4,8.9,2000001.0,4000001.0,500000.0,24,542854,4.45,4273.0,1.66,282437,1565.78,2213.5,165350,41.8
U0073,Male,Bengkulu,Senior High School,Student,Akulaku,Saham,Gaya,16257040.0,5,5.8,2000001.0,4000001.0,3000000.0,27,138784,0.36,358.0,1.75,68108,478.3,2138.0,49233,35.6
U0074,Female,Sulawesi Tengah,Bachelor (S1)/Diploma IV,Student,OVO,Reksadana,Konsumsi,10938985.0,3,6.4,2000000.0,2000000.0,500000.0,28,177868,0.64,665.0,1.54,77106,598.93,3156.1,120750,43.1
U0075,Female,Jawa Barat,Bachelor (S1)/Diploma IV,Private Employee,GoPay,Reksadana,Usaha,12757042.0,3,6.9,15000000.0,15000000.0,1000001.0,13,6818787,251.24,143127.0,3.41,4705372,20751.93,50759.0,56080,89.3
U0076,Female,Maluku,Bachelor (S1)/Diploma IV,Not Working,Kredivo,Saham,Tidak Ada,0.0,5,6.5,2000001.0,4000001.0,1000001.0,20,64468,0.2,117.0,0.84,32951,231.36,1970.6,32198,42.1
U0077,Female,Bali,Senior High School,Not Working,Akulaku,Kripto,Tidak Ada,0.0,2,7.4,2000000.0,2000000.0,1000001.0,21,427124,18.54,8469.0,1.13,260541,1781.63,2836.7,67319,81.2
U0078,Male,Papua Barat,Senior High School,Student,Kredivo,No Investment,Tidak Ada,0.0,3,6.9,4000001.0,4000001.0,500000.0,17,32690,0.15,97.0,1.32,17755,89.41,587.6,131636,44.4
U0079,Male,DKI Jakarta,Postgraduate,Student,Kredivo,Saham,Tidak Ada,0.0,1,2.8,2000001.0,2000000.0,1000001.0,24,2708907,20964.0,9272715.0,3.56,2324200,12838.89,10678.0,344350,100.0
U0080,Male,Sulawesi Tenggara,Bachelor (S1)/Diploma IV,Not Working,OVO,Saham,Konsumsi,12121446.0,3,6.5,2000000.0,2000000.0,1000001.0,13,140184,0.27,529.0,1.44,69118,701.29,2836.7,67840,48.3
