Gender,Province of Origin,Residence Status,Last Education,Job,Marital Status,income_clean,age,Skor_Literasi,Skor_Adopsi_Fintech,Skor_Perilaku_Bijak,Skor_Impulsif,Skor_Rasa_Aman,Jumlah Rekening Penerima Pinjaman Aktif (entitas),Jumlah Dana yang Diberikan (Rp miliar),Jumlah Rekening Pemberi Pinjaman (akun),TWP 90%,Jumlah Penerima Pinjaman (akun),Outstanding Pinjaman (Rp miliar),Jumlah Penduduk (Ribu),PDRB (Ribu Rp),Urbanisasi (%)
Female,Sumatera Barat,Family House,Diploma I/II/III,Student,Not Married,2000000.0,25,3.25,2.4444444444444446,3.090909090909091,2.0,3.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,25,2.9375,3.2222222222222223,3.0,1.6666666666666667,2.7777777777777777,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Civil Servant/BUMN,Not Married,2000000.0,25,3.0625,2.5555555555555554,2.909090909090909,2.0,3.111111111111111,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,25,2.8125,2.4444444444444446,2.727272727272727,1.6666666666666667,3.0,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,25,3.125,3.7777777777777777,3.909090909090909,2.3333333333333335,2.7777777777777777,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,25,2.75,2.4444444444444446,3.1818181818181817,2.6666666666666665,2.5555555555555554,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Rental House,Senior High School,Student,Not Married,2000000.0,26,2.3125,2.888888888888889,1.8181818181818181,3.0,2.888888888888889,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,DKI Jakarta,Rental House,Diploma I/II/III,Civil Servant/BUMN,Not Married,2000000.0,25,3.9375,3.2222222222222223,3.5454545454545454,2.6666666666666665,3.2222222222222223,2708907,20964.0,9272715.0,3.56,2324200,12838.89,10678.0,344350,100.0
Female,Sumatera Barat,Rental House,Diploma I/II/III,Student,Not Married,2000000.0,25,2.625,2.2222222222222223,2.4545454545454546,2.0,2.111111111111111,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Riau,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,25,1.875,2.888888888888889,3.090909090909091,4.0,2.5555555555555554,542854,4.45,4273.0,1.66,282437,1565.78,2213.5,165350,41.8
Female,Sumatera Barat,Rental House,Diploma I/II/III,Student,Not Married,2000000.0,25,3.0,2.0,3.1818181818181817,1.0,2.7777777777777777,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Rental House,Diploma I/II/III,Student,Not Married,2000000.0,26,3.375,3.3333333333333335,3.4545454545454546,1.3333333333333333,3.111111111111111,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,25,3.1875,2.3333333333333335,3.5454545454545454,4.0,3.5555555555555554,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Male,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,25,2.8125,2.3333333333333335,3.0,2.6666666666666665,2.888888888888889,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Student,Not Married,2000000.0,26,3.0,2.7777777777777777,2.909090909090909,2.0,3.2222222222222223,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
Female,Sumatera Barat,Parents House,Diploma I/II/III,Private Employee,Not Married,2000000.0,25,2.9375,3.0,3.0,3.0,2.3333333333333335,400529,1.77,9358.0,2.4,198642,1398.91,5914.3,57047,63.8
